language,script,videoEmbedSource,videoEmbedCode,videoCaption,bibleLink,bibleText,fullFilmLink,fullFilmText,questionsLink,questionsText,optionalLink,optionalText,country,readingLanguage
Konkani (Mangalorian),,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/mangalorean-konkani.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_164216-jf6112-0-0&parentSessionId=629bd5b4ef6020.02196289&apiSessionId=629bd5b77d5154.75232628&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/1866/LUK.6.27-49.KONKANIBSI,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/mangalorean-konkani.html,Watch the complete JESUS film from the beginning,https://www.everystudent.in/,Answers to common Questions,,,India,English
"Kurdi, Harwami",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/kurdi-hawrami.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_139169-jf6112-0-0&parentSessionId=629bd5cec65da8.60687247&apiSessionId=629bd5d23d6543.33458253&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>","این کلیپ کوتاه  از فیلم ""عیسی"" را تماشا کنید. (3 - دقیقه)",https://www.bible.com/bible/2474/LUK.6.27-49.VKF,این داستان را در کتاب مقدس بخوانید,https://www.jesusfilm.org/watch/jesus.html/kurdi-hawrami.html,"فیلم کامل ""عیسا"" را در  مشاهده نمایید",https://www.everypersianstudent.com/,پاسخ به پرسشهای معمول در بارۀ زندگی را بیابید,,,Iran,Farsi
Kurmanji Standard,,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/kurmanji-standard.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_20770-jf6112-0-0&parentSessionId=629b1443f25e77.62154868&apiSessionId=629bdf3edcb288.93569092&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/251/LUK.6.27-49.KURNT,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/kurmanji-standard.html,Watch the complete JESUS film from the beginning,https://www.tanriyitanimak.com/,Answers to common Questions,,,Turkey,Turkish
Lampung Nyo,,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/lampung-nyo.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_139250-jf6112-0-0&parentSessionId=629bdf50d0f4c7.58023305&apiSessionId=629bdf541a3945.34766870&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/199/LUK.6.27-49.AMD,Read the above story in the Indonesian Bible,https://www.jesusfilm.org/watch/jesus.html/lampung-nyo.html,Watch the complete JESUS film from the beginning,https://www.mahasiswakeren.com/,Answers to common Questions,,,Indonesia,
"Limba, Tonko-Sella",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/limba-tonko-sella.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_184933-jf6112-0-0&parentSessionId=629bdf6736ea49.89199896&apiSessionId=629bdf69e24804.69213255&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2079/LUK.6.27-49.EASY,Read the above story in the Easy English Bible,https://www.jesusfilm.org/watch/jesus.html/limba-tonko-sella.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Answers to common Questions,,,Sierra Leone,English taught in schools
Mangalorean Konkani,,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/mangalorean-konkani.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_164216-jf6112-0-0&parentSessionId=629bd5b4ef6020.02196289&apiSessionId=629bdf7e9abcc8.14855925&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/1866/LUK.6.27-49.KONKANIBSI,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/mangalorean-konkani.html,Watch the complete JESUS film from the beginning,https://www.everystudent.in/,Answers to common Questions,,,India,English
"Mbembe, Tigon",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/mbembe-tigon.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_2329-jf6112-0-0&parentSessionId=629bdf92266840.18409212&apiSessionId=629bdf95cdfd16.53435269&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2079/LUK.6.27-49.EASY,Read the above story in the Easy English Bible,https://www.jesusfilm.org/watch/jesus.html/mbembe-tigon.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Answers to common Questions,,,Cameroon,English and French taught in schools
"Pashto, Yusufzai (Northern)",پښتو، شمالی,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/pashto-yusufzai.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_374-jf6112-0-0&parentSessionId=629bdfa96000f5.28976921&apiSessionId=629bdfac9443e0.80049013&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",یِسُوع کی فلم سے یہ  چھوٹا  کلپ دیکھیں,https://www.bible.com/bible/187/LUK.6.27-49.UGV,بائبل میں اس کہانی کو  پڑھیں,https://www.jesusfilm.org/watch/jesus.html/pashto-yusufzai.html,"پر پوری ""یِسُوع"" فلم دیکھیں",https://www.zindagikaysawalat.com/,زندگی کے بارے میں عام سوالات کے جوابات تلاش کریں ۔,,,Pakistan,Urdu
Samarkand Tajik,Самарканди точик,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/samarkand-tajik.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_24156-jf6112-0-0&parentSessionId=629bdfc1d24b66.76122555&apiSessionId=629bdfc4d13527.24233113&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>","Отрывок из фильма ""Иисуса"" (3 мин)",https://www.bible.com/bible/1999/LUK.6.27-49.%D0%A1%D0%A0%D0%9F-2,Прочтите эту историю в Библии,https://www.jesusfilm.org/watch/jesus.html/samarkand-tajik.html,"Посмотрите весь фильм ""ИИСУС"" на YouTube.",https://www.mirstudentov.com/,Найдите ответы на общие вопросы о жизни.,,,Uzbekistan,Russian?
Tajik,тоҷикӣ,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/tajik.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_24309-jf6112-0-0&parentSessionId=629b73e8e3be21.62132439&apiSessionId=629be002475537.89057355&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>","Отрывок из фильма ""Иисуса"" (3 мин)",https://www.bible.com/bible/1999/LUK.6.27-49.%D0%A1%D0%A0%D0%9F-2,Прочтите эту историю в Библии,https://www.jesusfilm.org/watch/jesus.html/tajik.html,"Посмотрите весь фильм ""ИИСУС"" на YouTube.",https://www.mirstudentov.com/,Найдите ответы на общие вопросы о жизни.,,,Tajikistan,Russian?
"Tamasheq, Kidal",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/tamasheq-kidal.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_2000-jf6112-0-0&parentSessionId=629be020d16298.03024425&apiSessionId=629be024accc54.02580825&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>","شاهد مقطع فيديو من فيلم ""يسوع"" (٣ دقائق)",https://www.bible.com/ar/bible/101/LUK.6.27-49.KEH,إقرأ هذه القصة في الكتاب المقدس,https://www.jesusfilm.org/watch/jesus.html/tamasheq-kidal.html,"شاهد فيلم ""يسوع"" كاملاً علي يوتيوب",https://www.everyarabstudent.com/,أود أن أجد إجابات للأسئلة الشائعة حول الحياة,,,Algeria,"Arabic, Modern Standard"
"Uzbek, Southern",اۉزبېک، جنوبی,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/uzbek-southern.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_406-jf6112-0-0&parentSessionId=629be03a08a447.37426796&apiSessionId=629be03ced4818.51878872&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/1730/LUK.6.27-49.UZB,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/uzbek-southern.html,Watch the complete JESUS film from the beginning,https://www.studentstan.com/,Answers to common Questions,,,Afghanistan,Uzbek
