language,script,country,hyperlink
"Arabic, Modern Standard",عربية فصحى,Sudan,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Syria,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Tunisia,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,United Arab Emirates,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Yemen,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard (Egyptian)",عربي مصري فصيح,Egypt,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/arabic-egyptian-modern-standard.html
"Arabic, Moroccan Spoken",عربي مغربي,Morocco,https://mylanguage.net.au/watch_online/arq00/JESUS/1_8418-jf6112-0-0
"Arabic, North African",,Algeria,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20538-jfnoci-0-0
"Arabic, North African",,Chad,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20538-jfnoci-0-0
"Arabic, North African",,France,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20538-jfnoci-0-0
"Arabic, North African",,Libya,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20538-jfnoci-0-0
"Arabic, North African",,Morocco,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20538-jfnoci-0-0
"Arabic, North African",,Tunisia,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20538-jfnoci-0-0
"Arabic, Palestinian",عربي فلسطيني,Palestine,https://mylanguage.net.au/watch_online/arq00/JESUS/1_139086-jf6112-0-0
"Arabic, Saidi Spoken",عربي صعيدي,Egypt,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20533-jf6112-0-0
"Arabic, Sudanese Spoken",عربي سوداني,Sudan,https://mylanguage.net.au/watch_online/arq00/JESUS/1_13562-jf6112-0-0
"Arabic, Ta'Izzi Yemeni",عربي يمني,Yemen,https://mylanguage.net.au/watch_online/Cib99/JESUS/1_53429-jf6112-0-0
"Arabic, Tunisian",عربي تونسي,Tunisia,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20547-jf6112-0-0
Aramba,,Papua New Guinea,https://mylanguage.net.au/watch_online/Ara97/JESUS/1_11251-jf6112-0-0
Arifama-Miniafia,,Papua New Guinea,https://mylanguage.net.au/watch_online/Ari99/JESUS/1_10616-jf6112-0-0
Armenian,Հայերեն,Armenia,https://nextstep.is/TFsLO4ry
"Armenian, Western","Հայկական, արեւմտյան",Armenia,lok up or is this Armenian Eastern?
Assamese,,India,https://mylanguage.net.au/watch_online/asm00/JESUS/1_1171-jf6112-0-0
Assyrian Neo-Aramaic,,Iraq,https://mylanguage.net.au/watch_online/aii00/JESUS/1_20551-jf6112-0-0
Assyrian Neo-Aramaic,,Syria,https://mylanguage.net.au/watch_online/aii00/JESUS/1_20551-jf6112-0-0
Ateso,,Kenya,https://mylanguage.net.au/watch_online/teo00/JESUS/1_20963-jf6112-0-0
Atitlan Mixe,,Mexico,https://mylanguage.net.au/watch_online/neq07/JESUS/1_20830-jf6112-0-0
Aukaans,,Suriname,https://mylanguage.net.au/watch_online/djk00/JESUS/1_18698-jf6112-0-0
Avar,,Russia,https://mylanguage.net.au/watch_online/avr00/JESUS/1_15882-jf6112-0-0
Awadhi,,India,https://mylanguage.net.au/watch_online/awd00/JESUS/1_5603-jf6112-0-0
Awak,,Nigeria,https://mylanguage.net.au/watch_online/Awa99/JESUS/1_10231-jf6112-0-0
Awgni,,Ethiopia,https://mylanguage.net.au/watch_online/Awg99/JESUS/1_53389-jf6112-0-0
"Aymara, Central",,Bolivia,https://mylanguage.net.au/watch_online/aym00/JESUS/1_616-jf6112-0-0
Azerbaijani,,Iran,https://mylanguage.net.au/watch_online/aze00/JESUS/1_689-jf6112-0-0
"Azerbaijani, North",,Azerbaijan,https://mylanguage.net.au/watch_online/aze00/JESUS/1_689-jf6112-0-0
Aztec Nahuatl Guerrero,,Mexico,https://mylanguage.net.au/watch_online/nah00/JESUS/1_20843-jf6112-0-0
Bacama-Bwatiye,,Nigeria,https://mylanguage.net.au/watch_online/Bac99/JESUS/1_53330-jf6112-0-0
Badaga,,India,https://mylanguage.net.au/watch_online/bfq00/JESUS/1_5613-jf6112-0-0
Bagheli,,India,https://mylanguage.net.au/watch_online/bfy00/JESUS/1_6648-jf6112-0-0
Bahnar,,Vietnam,https://mylanguage.net.au/watch_online/bdq00/JESUS/1_19391-jf6112-0-0
Bai,,China,https://mylanguage.net.au/watch_online/piq00/JESUS/1_3948-jf6112-0-0
Bakairi,,Brazil,https://mylanguage.net.au/watch_online/bkq00/JESUS/1_1884-jf6112-0-0
Bakhtiari,,Iran,https://mylanguage.net.au/watch_online/Bak99/JESUS/1_6800-jf6112-0-0
Balanta,,Guinea-Bissau,https://mylanguage.net.au/watch_online/ble00/JESUS/1_13002-jf6112-0-0
Bali,,Indonesia,https://mylanguage.net.au/watch_online/bzc00/JESUS/1_19617-jf6112-0-0
Balkar,,Russia,https://mylanguage.net.au/watch_online/krc01/JESUS/1_18518-jf6112-0-0
Balochi,,Pakistan,https://mylanguage.net.au/watch_online/bgp00/JESUS/1_5700-jf6112-0-0
Balti,,Pakistan,https://mylanguage.net.au/watch_online/bft00/JESUS/1_6654-jf6112-0-0
Bambara,,Mali,https://mylanguage.net.au/watch_online/bra00/JESUS/1_2075-jf6112-0-0
Bamun,,Cameroon,https://mylanguage.net.au/watch_online/bax00/JESUS/1_2912-jf6112-0-0
Banda-Linda,,Central African Republic,https://mylanguage.net.au/watch_online/Ban99/JESUS/
Bandi,,Liberia,https://mylanguage.net.au/watch_online/gba00/JESUS/1_7655-jf6112-0-0
Bangjinge,,Nigeria,https://mylanguage.net.au/watch_online/Ban98/JESUS/1_28054-jf6112-0-0
Bangla,,Bangladesh,https://mylanguage.net.au/watch_online/bng00/JESUS/1_139082-jf6112-0-0
Banjar,,Indonesia,https://mylanguage.net.au/watch_online/Ban97/JESUS/1_16827-jf6112-0-0
Banten,,Indonesia,https://mylanguage.net.au/watch_online/Ban96/JESUS/1_13195-jf6112-0-0
Bara,,Madagascar,https://mylanguage.net.au/watch_online/bhr00/JESUS/1_7735-jf6112-0-0
Bareli,,India,https://mylanguage.net.au/watch_online/Bar99/JESUS/1_25919-jf6112-0-0
Bari,,South Sudan,https://mylanguage.net.au/watch_online/bfa00/JESUS/1_13586-jf6112-0-0
Bariai,,Papua New Guinea,https://mylanguage.net.au/watch_online/bch00/JESUS/1_10715-jf6112-0-0
Bariba,,Benin,https://mylanguage.net.au/watch_online/bba00/JESUS/1_1294-jf6112-0-0
Barka,,Burkina Faso,https://mylanguage.net.au/watch_online/bib00/JESUS/1_2125-jf6112-0-0
Basa,,Nigeria,https://mylanguage.net.au/watch_online/bzw00/JESUS/1_24010-jf6112-0-0
Basaa,,Cameroon,https://mylanguage.net.au/watch_online/baa00/JESUS/1_2923-jf6112-0-0
Bashkir,,Russia,https://mylanguage.net.au/watch_online/bxk00/JESUS/1_18450-jf6112-0-0
Basketto,,Ethiopia,https://mylanguage.net.au/watch_online/Bas99/JESUS/1_4779-jf6112-0-0
Bassa,,Liberia,https://mylanguage.net.au/watch_online/bas00/JESUS/1_19508-jf6112-0-0
Batak Angkola,,Indonesia,https://mylanguage.net.au/watch_online/akb00/JESUS/1_17689-jf6112-0-0
Batak Karo,,Indonesia,https://mylanguage.net.au/watch_online/btx00/JESUS/1_17813-jf6112-0-0
Batak Simalungun,,Indonesia,https://mylanguage.net.au/watch_online/bts00/JESUS/1_17814-jf6112-0-0
Batak Toba,,Indonesia,https://mylanguage.net.au/watch_online/bbc00/JESUS/1_17818-jf6112-0-0
Baule,,Cote d'Ivoire,https://mylanguage.net.au/watch_online/bci00/JESUS/1_16107-jf6112-0-0
Bedamuni,,Papua New Guinea,https://mylanguage.net.au/watch_online/beo00/JESUS/1_21577-jf6112-0-0
Beembe,,Congo,https://mylanguage.net.au/watch_online/bmb00/JESUS/1_4276-jf6112-0-0
Belorussian,,Belarus,https://mylanguage.net.au/watch_online/ruw00/JESUS/1_1259-jf6112-0-0
Bemba,,Zambia,https://mylanguage.net.au/watch_online/bem00/JESUS/1_14278-jf6112-0-0
Bena,,Tanzania,https://mylanguage.net.au/watch_online/bez00/JESUS/1_14277-jf6112-0-0
Bench,,Ethiopia,https://mylanguage.net.au/watch_online/bcq00/JESUS/1_19518-jf6112-0-0
Bengali,বাংলা,_TOP,https://mylanguage.net.au/watch_online/bng00/JESUS/1_139082-jf6112-0-0
Bengali (Bangladeshi),বাংলাদেশী বাংলা,Bangladesh,https://mylanguage.net.au/watch_online/bng00/JESUS/1_139082-jf6112-0-0
Bengali (Indian),বাংলা (ভারত),India,https://mylanguage.net.au/watch_online/bng00/JESUS/1_139081-jf6112-0-0
Berom,,Nigeria,https://mylanguage.net.au/watch_online/bom00/JESUS/1_10185-jf6112-0-0
Betawi,,Indonesia,https://mylanguage.net.au/watch_online/bew00/JESUS/1_16652-jf6112-0-0
"Bete, Guiberoua",,Cote d'Ivoire,https://mylanguage.net.au/watch_online/bet00/JESUS/1_16106-jf6112-0-0
Bhadrawahi,,India,https://mylanguage.net.au/watch_online/bhd00/JESUS/1_5671-jf6112-0-0
Bhatri,,India,https://mylanguage.net.au/watch_online/bgw00/JESUS/1_5697-jf6112-0-0
Bhili,,India,https://mylanguage.net.au/watch_online/bhb00/JESUS/1_5695-jf6112-0-0
