language,script,country,hyperlink
Dagbanli,,Ghana,https://mylanguage.net.au/watch_online/dag00/JESUS/1_5190-jf6112-0-0
Dan,,Cote d'Ivoire,https://mylanguage.net.au/watch_online/daf00/JESUS/1_5462-jf6112-0-0
Dangi,,India,https://mylanguage.net.au/watch_online/dhn00/JESUS/1_22682-jf6112-0-0
"Dani, Western",,Indonesia,https://mylanguage.net.au/watch_online/dnw00/JESUS/1_16447-jf6112-0-0
Danish,,Denmark,https://mylanguage.net.au/watch_online/Dan99/JESUS/
Dargin,,Russia,https://mylanguage.net.au/watch_online/dar00/JESUS/1_20644-jf6112-0-0
Dari,دری,Afghanistan,https://mylanguage.net.au/watch_online/prs00/JESUS/1_53400-jf6112-0-0
Daur,,China,https://mylanguage.net.au/watch_online/dta00/JESUS/1_3786-jf6112-0-0
Dawro,,Ethiopia,https://mylanguage.net.au/watch_online/gmo03/JESUS/1_4633-jf6112-0-0
Daza,,Chad,https://mylanguage.net.au/watch_online/dak00/JESUS/1_3299-jf6112-0-0
Deccani,,India,https://mylanguage.net.au/watch_online/dcc00/JESUS/1_22685-jf6112-0-0
Dene,,Canada,https://mylanguage.net.au/watch_online/Den99/JESUS/1_97745-jf6112-0-0
Dera,,Nigeria,https://mylanguage.net.au/watch_online/kna00/JESUS/1_19822-jf6112-0-0
Dersim Zazaki,,Turkey,https://mylanguage.net.au/watch_online/qkv00/JESUS/1_22684-jf6112-0-0
Desia,,India,https://mylanguage.net.au/watch_online/ort00/JESUS/1_20863-jf6112-0-0
Dhatki,,Pakistan,https://mylanguage.net.au/watch_online/mki00/JESUS/1_10529-jf6112-0-0
Dhivehi,,Maldives,https://mylanguage.net.au/watch_online/Dhi29/JESUS/1_53287-jf6112-0-0
Dhopadhola,,Uganda,https://mylanguage.net.au/watch_online/adh00/JESUS/1_20521-jf6112-0-0
Digo,,Kenya,https://mylanguage.net.au/watch_online/dig00/JESUS/1_7176-jf6112-0-0
Dijim (Cham),,Nigeria,https://mylanguage.net.au/watch_online/Dij99/JESUS/1_53395-jf6112-0-0
Dimasa,,India,https://mylanguage.net.au/watch_online/Dim99/JESUS/1_19652-jf6112-0-0
"Dinka, Agar-Bor",,South Sudan,https://mylanguage.net.au/watch_online/dip00/JESUS/1_139058-jf6112-0-0
"Dinka, Northeastern (Padang)",,South Sudan,https://mylanguage.net.au/watch_online/dip00/JESUS/1_24267-jf6112-0-0
"Dinka, Rek",,Sudan,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dinka-rek.html
Dirasha,,Ethiopia,https://mylanguage.net.au/watch_online/Dir99/JESUS/1_4694-jf6112-0-0
Ditammari,,Benin,https://mylanguage.net.au/watch_online/tbz00/JESUS/1_1318-jf6112-0-0
Djola-Bayote,,Guinea-Bissau,https://mylanguage.net.au/watch_online/Djo99/JESUS/1_53409-jf6112-0-0
Djola-bayote,,Senegal,https://mylanguage.net.au/watch_online/Djo99/JESUS/1_53409-jf6112-0-0
"Dogon, Jamsay",,Mali,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dogon-jamsay.html
"Dogon, Tommo So",,Mali,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dogon-tommo-so.html
"Dogon, Tomo Kan",,Mali,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dogon-tomo-kan.html
"Dogon, Toro So",,Mali,https://mylanguage.net.au/watch_online/dog00/JESUS/1_2098-jf6112-0-0
Dogri,,India,https://mylanguage.net.au/watch_online/dgo00/JESUS/1_20651-jf6112-0-0
"Dong, Southern",,China,https://mylanguage.net.au/watch_online/Don99/JESUS/1_3803-jf6112-0-0
Duala,,Cameroon,https://mylanguage.net.au/watch_online/dou00/JESUS/1_2854-jf6112-0-0
Dukanci,,Nigeria,https://mylanguage.net.au/watch_online/dud00/JESUS/1_10262-jf6112-0-0
Dungan,,Kyrgyzstan,https://mylanguage.net.au/watch_online/dng00/JESUS/1_17820-jf6112-0-0
Duri,,Indonesia,https://mylanguage.net.au/watch_online/Dur99/JESUS/1_17601-jf6112-0-0
Duruma,,Kenya,https://mylanguage.net.au/watch_online/dug00/JESUS/1_7166-jf6112-0-0
Duruwa,,India,https://mylanguage.net.au/watch_online/pci00/JESUS/1_5967-jf6112-0-0
Dusun,,Malaysia,https://mylanguage.net.au/watch_online/dtp00/JESUS/1_20654-jf6112-0-0
Dutch,Nederlands,Belgium,https://mylanguage.net.au/watch_online/Dut99/JESUS/1_1269-jf6112-0-0
Dutch,Nederlands,Netherlands,https://mylanguage.net.au/watch_online/Dut99/JESUS/1_1269-jf6112-0-0
Dutch,Nederlands,Suriname,https://mylanguage.net.au/watch_online/Dut99/JESUS/1_1269-jf6112-0-0
Dzongkha,,Bhutan,https://mylanguage.net.au/watch_online/dzo00/JESUS/
Ebira,,Nigeria,https://mylanguage.net.au/watch_online/igb00/JESUS/1_9789-jf6112-0-0
Ede Nago,,Benin,https://mylanguage.net.au/watch_online/Nag99/JESUS/1_1327-jf6112-0-0
Ede Nago,,Togo,https://mylanguage.net.au/watch_online/Nag99/JESUS/1_1327-jf6112-0-0
Edo,,Nigeria,https://mylanguage.net.au/watch_online/edo00/JESUS/1_10255-jf6112-0-0
Efik,,Nigeria,https://mylanguage.net.au/watch_online/efk00/JESUS/1_2728-jf6112-0-0
Eggon,,Nigeria,https://mylanguage.net.au/watch_online/ego00/JESUS/1_10252-jf6112-0-0
"Ejagham, Western",,Cameroon,https://mylanguage.net.au/watch_online/etu05/JESUS/1_21205-jf6112-0-0
"Embera, Northern",,Panama,https://mylanguage.net.au/watch_online/Emb99/JESUS/
Embu,,Kenya,https://mylanguage.net.au/watch_online/ebu00/JESUS/1_7164-jf6112-0-0
Enga,,Papua New Guinea,https://mylanguage.net.au/watch_online/enq00/JESUS/1_12200-jf6112-0-0
English,,_TOP,https://nextstep.is/2C9cPLzI
English,,Antigua and Barbuda,https://nextstep.is/2C9cPLzI
English,,Australia,https://nextstep.is/2C9cPLzI
English,,Bahamas,https://nextstep.is/2C9cPLzI
English,,Barbados,https://nextstep.is/2C9cPLzI
English,,Belize,https://nextstep.is/2C9cPLzI
English,,Botswana,https://nextstep.is/2C9cPLzI
English,,Burundi,https://nextstep.is/2C9cPLzI
English,,Cameroon,https://nextstep.is/2C9cPLzI
English,,Canada,https://nextstep.is/2C9cPLzI
English,,Dominica,https://nextstep.is/2C9cPLzI
English,,Eswatini,https://nextstep.is/2C9cPLzI
English,,Fiji,https://nextstep.is/2C9cPLzI
English,,Gambia,https://nextstep.is/2C9cPLzI
English,,Ghana,https://nextstep.is/2C9cPLzI
English,,Grenada,https://nextstep.is/2C9cPLzI
English,,Guam,https://nextstep.is/2C9cPLzI
English,,Guyana,https://nextstep.is/2C9cPLzI
English,,India,https://nextstep.is/2C9cPLzI
English,,Ireland,https://nextstep.is/2C9cPLzI
English,,Jamaica,https://nextstep.is/2C9cPLzI
English,,Kenya,https://nextstep.is/2C9cPLzI
English,,Kiribati,https://nextstep.is/2C9cPLzI
English,,Lesotho,https://nextstep.is/2C9cPLzI
English,,Liberia,https://nextstep.is/2C9cPLzI
English,,Malawi,https://nextstep.is/2C9cPLzI
English,,Malta,https://nextstep.is/2C9cPLzI
English,,Marshall Islands,https://nextstep.is/2C9cPLzI
English,,Micronesia,https://nextstep.is/2C9cPLzI
English,,Namibia,https://nextstep.is/2C9cPLzI
English,,Nauru,https://nextstep.is/2C9cPLzI
English,,New Zealand,https://nextstep.is/2C9cPLzI
English,,Nigeria,https://nextstep.is/2C9cPLzI
English,,Pakistan,https://nextstep.is/2C9cPLzI
English,,Palau,https://nextstep.is/2C9cPLzI
English,,Papua New Guinea,https://nextstep.is/2C9cPLzI
English,,Philippines,https://nextstep.is/2C9cPLzI
English,,Saint Kitts and Nevis,https://nextstep.is/2C9cPLzI
English,,Saint Lucia,https://nextstep.is/2C9cPLzI
English,,Saint Vincent and the Grenadines,https://nextstep.is/2C9cPLzI
English,,Samoa,https://nextstep.is/2C9cPLzI
English,,Seychelles,https://nextstep.is/2C9cPLzI
English,,Sierra Leone,https://nextstep.is/2C9cPLzI
English,,Singapore,https://nextstep.is/2C9cPLzI
English,,Solomon Islands,https://nextstep.is/2C9cPLzI
English,,South Africa,https://nextstep.is/2C9cPLzI
English,,South Sudan,https://nextstep.is/2C9cPLzI
English,,Sudan,https://nextstep.is/2C9cPLzI
English,,Tanzania,https://nextstep.is/2C9cPLzI
English,,Tonga,https://nextstep.is/2C9cPLzI
English,,Trinidad and Tobago,https://nextstep.is/2C9cPLzI
English,,Tuvalu,https://nextstep.is/2C9cPLzI
English,,United Kingdom,https://nextstep.is/2C9cPLzI
English,,United States,https://nextstep.is/2C9cPLzI
English,,Vanuatu,https://nextstep.is/2C9cPLzI
English,,Zambia,https://nextstep.is/2C9cPLzI
English,,Zimbabwe,https://nextstep.is/2C9cPLzI
"English, North American Indigenous",,Canada,https://mylanguage.net.au/watch_online/eng00/JESUS/1_23156-jf-0-0
"English, North American Indigenous",,United States,https://mylanguage.net.au/watch_online/eng00/JESUS/1_23156-jf-0-0
Erzya,,Russia,https://mylanguage.net.au/watch_online/myv00/JESUS/1_18483-jf6112-0-0
Estonian,,Estonia,https://mylanguage.net.au/watch_online/est00/JESUS/1_4601-jf6112-0-0
Euskera,,Spain,https://mylanguage.net.au/watch_online/bsq00/JESUS/1_23514-jf6112-0-0
Ewe,,Togo,https://mylanguage.net.au/watch_online/ewe00/JESUS/1_5331-jf6112-0-0
Ewondo,,Cameroon,https://mylanguage.net.au/watch_online/ewo00/JESUS/1_2713-jf6112-0-0
Fa D'Ambu,,Equatorial Guinea,https://mylanguage.net.au/watch_online/Fa 99/JESUS/
Fakai,,Nigeria,https://mylanguage.net.au/watch_online/Fak99/JESUS/1_10157-jf6112-0-0
Fanakalo,,South Africa,https://mylanguage.net.au/watch_online/fao00/JESUS/1_20662-jf6112-0-0
"Fang, Equatorial Guinea",,Equatorial Guinea,https://mylanguage.net.au/watch_online/fng*1/JESUS/1_24018-jf6112-0-0
"Fang, Gabon",,Gabon,https://mylanguage.net.au/watch_online/fng%2A1/JESUS/1_24019-jf6112-0-0
Faroese,,Denmark,https://mylanguage.net.au/watch_online/fae00/JESUS/1_4455-jf6112-0-0
"Farsi, Western",فارسی,_TOP,https://nextstep.is/m4MxtCX8
"Farsi, Western",فارسی,Iran,https://nextstep.is/m4MxtCX8
Fijian,,Fiji,https://mylanguage.net.au/watch_online/fji00/JESUS/1_20665-jf6112-0-0
Fiji-Hindi,,Fiji,https://mylanguage.net.au/watch_online/hnd00/JESUS/1_53300-jf6112-0-0
Finnish,Suomi,Finland,https://mylanguage.net.au/watch_online/fin00/JESUS/
Fon-Gbe,,Benin,https://mylanguage.net.au/watch_online/foa00/JESUS/1_1304-jf6112-0-0
Foochow,,China,https://mylanguage.net.au/watch_online/cdo01/JESUS/1_23033-jf6112-0-0
French,Français,_TOP,https://nextstep.is/z9cGCYIU
French,Français,Belgium,https://nextstep.is/z9cGCYIU
French,Français,Benin,https://nextstep.is/z9cGCYIU
French,Français,Burkina Faso,https://nextstep.is/z9cGCYIU
French,Français,Burundi,https://nextstep.is/z9cGCYIU
French,Français,Cameroon,https://nextstep.is/z9cGCYIU
French,Français,Canada,https://nextstep.is/z9cGCYIU
French,Français,Central African Republic,https://nextstep.is/z9cGCYIU
French,Français,Chad,https://nextstep.is/z9cGCYIU
French,Français,Comoros,https://nextstep.is/z9cGCYIU
French,Français,Congo,https://nextstep.is/z9cGCYIU
French,Français,Cote d'Ivoire,https://nextstep.is/z9cGCYIU
French,Français,Djibouti,https://nextstep.is/z9cGCYIU
French,Français,DRCongo,https://nextstep.is/z9cGCYIU
French,Français,Equatorial Guinea,https://nextstep.is/z9cGCYIU
French,Français,France,https://nextstep.is/z9cGCYIU
French,Français,Gabon,https://nextstep.is/z9cGCYIU
French,Français,Guinea,https://nextstep.is/z9cGCYIU
French,Français,Haiti,https://nextstep.is/z9cGCYIU
French,Français,Luxembourg,https://nextstep.is/z9cGCYIU
French,Français,Madagascar,https://nextstep.is/z9cGCYIU
French,Français,Mali,https://nextstep.is/z9cGCYIU
French,Français,Monaco,https://nextstep.is/z9cGCYIU
French,Français,Niger,https://nextstep.is/z9cGCYIU
French,Français,Rwanda,https://nextstep.is/z9cGCYIU
French,Français,Senegal,https://nextstep.is/z9cGCYIU
French,Français,Seychelles,https://nextstep.is/z9cGCYIU
French,Français,Switzerland,https://nextstep.is/z9cGCYIU
French,Français,Togo,https://nextstep.is/z9cGCYIU
French,Français,Vanuatu,https://nextstep.is/z9cGCYIU
Fulacunda,,Senegal,https://mylanguage.net.au/watch_online/fub00/JESUS/1_5050-jf6112-0-0
"Fulfulde, Benin-Togo",,Benin,https://mylanguage.net.au/watch_online/Ful99/JESUS/1_1299-jf6112-0-0
"Fulfulde, Caka Nigeria",,Nigeria,https://mylanguage.net.au/watch_online/fub00/JESUS/1_24038-jf6112-0-0
"Fulfulde, Maasina",,Mali,https://mylanguage.net.au/watch_online/fub00/JESUS/1_5183-jf6112-0-0
"Fulfulde, Pulaar",,Senegal,https://mylanguage.net.au/watch_online/fub00/JESUS/1_5048-jf6112-0-0
"Fulfulde, Western Niger",,Niger,https://mylanguage.net.au/watch_online/fub00/JESUS/1_23920-jf6112-0-0
Fulfulde-Adamawa,,Nigeria,https://mylanguage.net.au/watch_online/Ful98/JESUS/1_24014-jf6112-0-0
Fur,,Sudan,https://mylanguage.net.au/watch_online/Fur99/JESUS/1_53418-jf6112-0-0
Fuuta Jalon,,Guinea,https://mylanguage.net.au/watch_online/fuf00/JESUS/1_5459-jf6112-0-0
Ga,,Ghana,https://mylanguage.net.au/watch_online/Ga99/JESUS/1_27152-jf6112-0-0
"Gaelic, Irish",,Ireland,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/gaelic-irish.html
"Gaelic, Scots",,United Kingdom,https://mylanguage.net.au/watch_online/gli00/JESUS/1_14818-jf6112-0-0
Gagauz,,Moldova,https://mylanguage.net.au/watch_online/gag00/JESUS/1_1935-jf6112-0-0
Galician,,Spain,https://mylanguage.net.au/watch_online/gln00/JESUS/1_19705-jf6112-0-0
Gamai,,Nigeria,https://mylanguage.net.au/watch_online/ank00/JESUS/1_10365-jf6112-0-0
Gamit,,India,https://mylanguage.net.au/watch_online/gbl00/JESUS/1_6533-jf6112-0-0
Gamo,,Ethiopia,https://mylanguage.net.au/watch_online/gmo01/JESUS/1_4635-jf6112-0-0
Garhwali,,India,https://mylanguage.net.au/watch_online/gbm00/JESUS/1_6532-jf6112-0-0
Garo,,India,https://mylanguage.net.au/watch_online/grt00/JESUS/1_1204-jf6112-0-0
Gaviao Do Jiparana,,Brazil,https://mylanguage.net.au/watch_online/Gav99/JESUS/1_1569-jf6112-0-0
Gbagyi,,Nigeria,https://mylanguage.net.au/watch_online/gbr00/JESUS/1_10085-jf6112-0-0
Gbari,,Nigeria,https://mylanguage.net.au/watch_online/gby00/JESUS/1_10076-jf6112-0-0
"Gbaya, Northwest",,Cameroon,https://mylanguage.net.au/watch_online/Gba99/JESUS/1_2745-jf6112-0-0
"Gbaya, Southwest",,Central African Republic,https://mylanguage.net.au/watch_online/Gba98/JESUS/
Gbeya,,Central African Republic,https://mylanguage.net.au/watch_online/gbp00/JESUS/1_22651-jf6112-0-0
Ge,,China,https://mylanguage.net.au/watch_online/Ge99/JESUS/1_22819-jf6112-0-0
Gedeo,,Ethiopia,https://mylanguage.net.au/watch_online/drs00/JESUS/1_4704-jf6112-0-0
Gen-Gbe,,Benin,https://mylanguage.net.au/watch_online/gej00/JESUS/1_1342-jf6112-0-0
Georgian,,Georgia,https://mylanguage.net.au/watch_online/geo00/JESUS/1_5112-jf6112-0-0
German,Deutsch,_TOP,https://nextstep.is/y8ujUfJ2
German,Deutsch,Austria,https://nextstep.is/y8ujUfJ2
German,Deutsch,Belgium,https://nextstep.is/y8ujUfJ2
German,Deutsch,Liechtenstein,https://nextstep.is/y8ujUfJ2
German,Deutsch,Luxembourg,https://nextstep.is/y8ujUfJ2
German,Deutsch,Switzerland,https://nextstep.is/y8ujUfJ2
"German, Standard",Deutsch,Germany,https://mylanguage.net.au/watch_online/ger00/JESUS/1_1106-jf6112-0-0
Ghomala,,Cameroon,https://mylanguage.net.au/watch_online/Gho99/JESUS/1_2908-jf6112-0-0
Gikyode,,Ghana,https://mylanguage.net.au/watch_online/acd00/JESUS/1_5166-jf6112-0-0
Gilaki,,Iran,https://mylanguage.net.au/watch_online/glk00/JESUS/
Giryama,,Kenya,https://mylanguage.net.au/watch_online/nyf00/JESUS/1_20117-jf6112-0-0
Gitonga,,Mozambique,https://mylanguage.net.au/watch_online/toh00/JESUS/1_20983-jf6112-0-0
"Giziga, South",,Cameroon,https://mylanguage.net.au/watch_online/Giz99/JESUS/1_2754-jf6112-0-0
Goan Konkani,,India,https://mylanguage.net.au/watch_online/gom00/JESUS/1_6519-jf6112-0-0
Gofa,,Ethiopia,https://mylanguage.net.au/watch_online/gmo02/JESUS/1_4634-jf6112-0-0
Gogo,,Tanzania,https://mylanguage.net.au/watch_online/gog00/JESUS/1_14206-jf6112-0-0
Goji,,Nigeria,https://mylanguage.net.au/watch_online/Goj99/JESUS/1_121129-jf6112-0-0
Gola,,Liberia,https://mylanguage.net.au/watch_online/Gol99/JESUS/1_7617-jf6112-0-0
"Gondi, Aheri",,India,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/gondi-aheri.html
"Gondi, Northern",,India,https://mylanguage.net.au/watch_online/gon00/JESUS/1_6511-jf6112-0-0
Gonja,,Ghana,https://mylanguage.net.au/watch_online/dum00/JESUS/1_5187-jf6112-0-0
Gorontalo,,Indonesia,https://mylanguage.net.au/watch_online/grl00/JESUS/1_19716-jf6112-0-0
Gourmanchema,,Burkina Faso,https://mylanguage.net.au/watch_online/gux00/JESUS/1_1296-jf6112-0-0
"Grebo, Northern",,Liberia,https://mylanguage.net.au/watch_online/Gre99/JESUS/1_23926-jf6112-0-0
Greek,Eλληνικά,Cyprus,https://mylanguage.net.au/watch_online/grk00/JESUS/1_483-jf6112-0-0
Greek,Eλληνικά,Greece,https://nextstep.is/qlgDF9w0
"Guarani, Bolivian, Eastern",,Argentina,https://mylanguage.net.au/watch_online/Gua99/JESUS/1_20631-jf6112-0-0
"Guarani, Mbya",,Brazil,https://mylanguage.net.au/watch_online/Gua99/JESUS/1_20631-jf6112-0-0
"Guarani, Paraguayan",,Paraguay,https://mylanguage.net.au/watch_online/gui00/JESUS/1_12327-jf6112-0-0
Guaymi,,Panama,https://mylanguage.net.au/watch_online/gym00/JESUS/1_10597-jf6112-0-0
"Guere, Central",,Cote d'Ivoire,https://mylanguage.net.au/watch_online/gxx00/JESUS/1_16048-jf6112-0-0
Gujarati,ગુજરાતી,India,https://nextstep.is/IOzXKrEf
Guji,,Ethiopia,https://mylanguage.net.au/watch_online/gax03/JESUS/1_4699-jf6112-0-0
Gun-Gbe,,Benin,https://mylanguage.net.au/watch_online/guw00/JESUS/1_1297-jf6112-0-0
Gungu,,Uganda,https://mylanguage.net.au/watch_online/Gun99/JESUS/1_14710-jf6112-0-0
"Gurage, Sodo",,Ethiopia,https://mylanguage.net.au/watch_online/gru01/JESUS/1_4684-jf6112-0-0
"Gurage, West",,Ethiopia,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/gurage-west.html
Gurenne,,Ghana,https://mylanguage.net.au/watch_online/gur00/JESUS/1_2062-jf6112-0-0
Guro,,Cote d'Ivoire,https://mylanguage.net.au/watch_online/goa00/JESUS/1_16064-jf6112-0-0
Gurung,,Nepal,https://mylanguage.net.au/watch_online/gvr00/JESUS/1_6485-jf6112-0-0
Gusii,,Kenya,https://mylanguage.net.au/watch_online/guz00/JESUS/1_7326-jf6112-0-0
Guyanese Creole,,Guyana,https://mylanguage.net.au/watch_online/Guy99/JESUS/
Gyazi,,Nigeria,https://mylanguage.net.au/watch_online/Gya99/JESUS/1_139090-jf6112-0-0
Hadiyya,,Ethiopia,https://mylanguage.net.au/watch_online/hdy00/JESUS/1_4667-jf6112-0-0
Hadothi,,India,https://mylanguage.net.au/watch_online/hoj00/JESUS/1_20696-jf6112-0-0
Haitian Creole,Kreyòl ayisyen,Haiti,https://nextstep.is/Bc9XQjiE
Hakka,,China,https://mylanguage.net.au/watch_online/hak00/JESUS/1_20611-jf6112-0-0
Halbi,,India,https://mylanguage.net.au/watch_online/hlb00/JESUS/1_19739-jf6112-0-0
Hanga,,Ghana,https://mylanguage.net.au/watch_online/Han99/JESUS/1_5319-jf6112-0-0
Haryanvi,,India,https://mylanguage.net.au/watch_online/bgc00/JESUS/1_5709-jf6112-0-0
Hausa,,Nigeria,https://mylanguage.net.au/watch_online/hua00/JESUS/1_1341-jf6112-0-0
Haya,,Tanzania,https://mylanguage.net.au/watch_online/hay00/JESUS/1_14201-jf6112-0-0
Hazaragi,,Afghanistan,https://mylanguage.net.au/watch_online/haz00/JESUS/1_450-jf6112-0-0
Hebrew,,Israel,https://mylanguage.net.au/watch_online/hbr00/JESUS/1_6930-jf6112-0-0
Hehe,,Tanzania,https://mylanguage.net.au/watch_online/heh00/JESUS/1_14192-jf6112-0-0
Hema,,DRCongo,https://mylanguage.net.au/watch_online/Hem99/JESUS/1_15256-jf6112-0-0
Hemba,,DRCongo,https://mylanguage.net.au/watch_online/hem00/JESUS/1_15557-jf6112-0-0
Herero,,Namibia,https://mylanguage.net.au/watch_online/her00/JESUS/1_1454-jf6112-0-0
Higgi,,Nigeria,https://mylanguage.net.au/watch_online/hig00/JESUS/1_22645-jf6112-0-0
Hiligaynon,,Philippines,https://mylanguage.net.au/watch_online/hil00/JESUS/1_19738-jf6112-0-0
Hindi,हिन्दी,_TOP,https://nextstep.is/LKbmMAkG
Hindi,हिन्दी,India,https://nextstep.is/LKbmMAkG
"Hindi, Caribbean",,Suriname,https://mylanguage.net.au/watch_online/hnd00/JESUS/1_5511-jf-0-0
"Hindi, Caribbean",,Trinidad and Tobago,https://mylanguage.net.au/watch_online/hnd00/JESUS/1_5511-jf-0-0
"Hindko, Northern",,Pakistan,https://mylanguage.net.au/watch_online/hno00/JESUS/1_10450-jf6112-0-0
Hiri Motu,,Papua New Guinea,https://mylanguage.net.au/watch_online/pom00/JESUS/1_21120-jf6112-0-0
Hixkaryana,,Brazil,https://mylanguage.net.au/watch_online/Hix99/JESUS/1_1566-jf6112-0-0
Hmong Daw,Hmoob Dwab / Moob Leeg / Hmong,Vietnam,https://mylanguage.net.au/watch_online/mww*1/JESUS/1_4012-jf6112-0-0
Hmong Shuad,,China,https://mylanguage.net.au/watch_online/msc00/JESUS/1_22826-jf6112-0-0
Ho,,India,https://mylanguage.net.au/watch_online/Ho99/JESUS/1_1189-jf6112-0-0
Hote,,Papua New Guinea,https://mylanguage.net.au/watch_online/Hot99/JESUS/1_12057-jf6112-0-0
Hre,,Vietnam,https://mylanguage.net.au/watch_online/hre00/JESUS/1_19747-jf6112-0-0
"Huasteco, San Luis Potosi",,Mexico,https://mylanguage.net.au/watch_online/hva00/JESUS/1_8265-jf6112-0-0
"Huasteco, Veracruz",,Mexico,https://mylanguage.net.au/watch_online/hva00/JESUS/1_8272-jf6112-0-0
Huba,,Nigeria,https://mylanguage.net.au/watch_online/kir00/JESUS/1_9597-jf6112-0-0
Huichol,,Mexico,https://mylanguage.net.au/watch_online/hch00/JESUS/1_8277-jf6112-0-0
Huli,,Papua New Guinea,https://mylanguage.net.au/watch_online/hui00/JESUS/1_12053-jf6112-0-0
Hungana,,DRCongo,https://mylanguage.net.au/watch_online/hum00/JESUS/1_15548-jf6112-0-0
Hungarian,,Hungary,https://mylanguage.net.au/watch_online/hng00/JESUS/1_1107-jf6112-0-0
Ibaloi,,Philippines,https://mylanguage.net.au/watch_online/ibl00/JESUS/1_12747-jf6112-0-0
Iban,,Malaysia,https://mylanguage.net.au/watch_online/iba00/JESUS/1_1924-jf6112-0-0
Ibanag,,Philippines,https://mylanguage.net.au/watch_online/ibg00/JESUS/1_12750-jf6112-0-0
Ibibio,,Nigeria,https://mylanguage.net.au/watch_online/ibb00/JESUS/1_9811-jf6112-0-0
Icelandic,,Iceland,https://mylanguage.net.au/watch_online/Ice99/JESUS/
Idoma,,Nigeria,https://mylanguage.net.au/watch_online/ido00/JESUS/1_9793-jf6112-0-0
Ife,,Togo,https://mylanguage.net.au/watch_online/ife00/JESUS/1_1338-jf6112-0-0
"Ifugao, Amganad",,Philippines,https://mylanguage.net.au/watch_online/ifk00/JESUS/1_20708-jf6112-0-0
"Ifugao, Mayoyao",,Philippines,https://mylanguage.net.au/watch_online/ifk00/JESUS/1_20708-jf6112-0-0
Igala,,Nigeria,https://mylanguage.net.au/watch_online/igl00/JESUS/1_9779-jf6112-0-0
Igbo,,Nigeria,https://mylanguage.net.au/watch_online/igr00/JESUS/1_9774-jf6112-0-0
Igede,,Nigeria,https://mylanguage.net.au/watch_online/ige00/JESUS/1_9784-jf6112-0-0
Ilocano,,Philippines,https://mylanguage.net.au/watch_online/ilo00/JESUS/1_12723-jf6112-0-0
Indonesian,Bahasa Indonesia,_TOP,https://mylanguage.net.au/watch_online/inz00/JESUS/1_16639-jf6112-0-0
Indonesian (Isa),Bahasa Indonesia,Indonesia,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/indonesian-isa.html
Indonesian (Yesus),Bahasa Indonesia,Indonesia,https://mylanguage.net.au/watch_online/inz00/JESUS/1_16639-jf6112-0-0
Ingush,,Russia,https://mylanguage.net.au/watch_online/inh00/JESUS/1_18555-jf6112-0-0
Inner Mongolian,,China,https://mylanguage.net.au/watch_online/mvf00/JESUS/1_22293-jf6112-0-0
"Inuktitut, Eastern Canadian",,Canada,https://mylanguage.net.au/watch_online/esb00/JESUS/1_3076-jf6112-0-0
Iraqw,,Tanzania,https://mylanguage.net.au/watch_online/irk00/JESUS/1_14187-jf6112-0-0
Isan,,Thailand,https://mylanguage.net.au/watch_online/tts00/JESUS/1_20967-jf6112-0-0
Ishinyiha,,Tanzania,https://mylanguage.net.au/watch_online/Ish99/JESUS/1_37411-jf6112-0-0
Islander English Creole,,Colombia,https://mylanguage.net.au/watch_online/Isl99/JESUS/1_24115-jf6112-0-0
Isnag,,Philippines,https://mylanguage.net.au/watch_online/Isn99/JESUS/1_12714-jf6112-0-0
Isoko,,Nigeria,https://mylanguage.net.au/watch_online/iso00/JESUS/1_9699-jf6112-0-0
Italian,Italiano,_TOP,https://nextstep.is/0OmNTkGR
Italian,Italiano,Italy,https://nextstep.is/0OmNTkGR
Italian,Italiano,San Marino,https://nextstep.is/0OmNTkGR
Italian,Italiano,Switzerland,https://nextstep.is/0OmNTkGR
Italian,Italiano,Vatican City,https://nextstep.is/0OmNTkGR
Itawis,,Philippines,https://mylanguage.net.au/watch_online/itv00/JESUS/1_20717-jf6112-0-0
Itsekiri,,Nigeria,https://mylanguage.net.au/watch_online/its00/JESUS/1_21740-jf6112-0-0
"Ixil, Nebaj",,Guatemala,https://mylanguage.net.au/watch_online/ixi00/JESUS/1_5420-jf6112-0-0
Iyansi,,DRCongo,https://mylanguage.net.au/watch_online/yns00/JESUS/1_24095-jf6112-0-0
Izere,,Nigeria,https://mylanguage.net.au/watch_online/fiz00/JESUS/1_10106-jf6112-0-0
Izi-Ezaa-Ikwo-Mgbo,,Nigeria,https://mylanguage.net.au/watch_online/izi00/JESUS/1_9694-jf6112-0-0
"Jacalteco, Western",,Guatemala,https://mylanguage.net.au/watch_online/Jac99/JESUS/1_5415-jf6112-0-0
Jama Mapun,,Philippines,https://mylanguage.net.au/watch_online/sjm00/JESUS/1_24218-jf6112-0-0
Japanese,日本語,_TOP,https://nextstep.is/cZLVvOzy
